shipment_id,vehicle_id,vehicle_type,capacity_kg,product_name,product_type,product_min_temp,product_max_temp,batch_quantity,expiry_date,departure_date,origin,destination,journey_duration_min,shipment_status,overall_compliance,temperature_status,sensor_reliability,custody_evidence_quality,route_reliability,total_readings,missing_readings,offline_readings,avg_temperature_c,obs_min_temp,obs_max_temp,stddev_temperature_c,avg_battery_level,avg_signal_strength,total_events,traffic_delay_events,route_deviation_events,total_delay_minutes,total_handovers,signed_handovers,missing_signatures,signature_rate_pct
SHP0001,V058,Refrigerated Van,500.0,Frozen French Fries,Frozen,-25.0,-18.0,78,2026-08-22,2026-08-01,Kochi,Hyderabad,106.0,Completed,Review,Warning,Valid,Complete,Normal,22,0,4,-20.326,-21.77,-5.22,3.397,85.27,66.91,8,0,0,0,3,3,0,100.0
SHP0002,V004,Refrigerated Van,500.0,Frozen French Fries,Frozen,-25.0,-18.0,151,2026-08-28,2026-08-07,Bangalore,Chennai,99.0,Completed,Non-Compliant,Compliant,Review,Review,Normal,20,1,0,-21.118,-21.78,-20.26,0.376,84.0,80.15,5,0,0,0,4,2,2,50.0
SHP0003,V046,Refrigerated Van,1200.0,Yogurt,Chilled,2.0,8.0,78,2026-08-28,2026-08-04,Coimbatore,Bengaluru,287.0,Completed,Review,Compliant,Valid,Review,Delayed,58,0,0,4.982,3.95,5.63,0.355,87.67,83.88,8,2,0,60,4,3,1,75.0
SHP0004,V099,Refrigerated Van,500.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,75,2026-08-22,2026-08-05,Chennai,Madurai,276.0,Completed,Compliant,Compliant,Valid,Complete,Normal,56,0,0,-21.016,-21.77,-20.01,0.388,85.45,84.52,5,0,0,0,2,2,0,100.0
SHP0005,V072,Refrigerated Van,1000.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,212,2026-08-16,2026-08-04,Coimbatore,Pune,256.0,Completed,Review,Compliant,Valid,Review,Delayed,52,1,0,-20.953,-21.61,-19.91,0.374,85.73,84.38,7,2,0,52,4,2,2,50.0
SHP0006,V043,Refrigerated Van,1000.0,Frozen Peas,Frozen,-25.0,-18.0,144,2026-08-07,2026-08-06,Bangalore,Madurai,213.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,43,0,0,-20.478,-21.81,-15.03,1.561,87.83,84.84,8,1,0,39,3,3,0,100.0
SHP0007,V053,Refrigerated Van,1000.0,Fresh Cream,Chilled,2.0,8.0,81,2026-08-29,2026-08-04,Coimbatore,Salem,133.0,Completed,Non-Compliant,Critical,Valid,Review,Delayed,27,0,0,5.927,4.39,11.69,2.204,84.83,86.22,6,1,0,48,3,2,1,66.67
SHP0008,V046,Refrigerated Van,1200.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,292,2026-08-17,2026-08-05,Bangalore,Mumbai,144.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,29,0,0,-20.277,-21.78,-16.0,1.703,84.02,83.31,6,1,0,42,2,2,0,100.0
SHP0009,V020,Refrigerated Truck,1500.0,Fresh Milk,Chilled,2.0,8.0,279,2026-08-24,2026-08-07,Pune,Madurai,137.0,Completed,Review,Compliant,Review,Complete,Normal,28,0,0,5.094,4.51,5.84,0.318,84.54,84.11,5,0,0,0,4,4,0,100.0
SHP0010,V028,Refrigerated Van,1000.0,Fresh Milk,Chilled,2.0,8.0,235,2026-08-30,2026-08-03,Salem,Bengaluru,171.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed,35,0,0,5.547,4.42,10.73,1.777,86.15,85.03,6,1,0,20,3,3,0,100.0
SHP0011,V099,Refrigerated Van,500.0,Fresh Milk,Chilled,2.0,8.0,241,2026-08-15,2026-08-07,Bangalore,Coimbatore,256.0,Completed,Compliant,Compliant,Valid,Complete,Normal,52,0,4,5.071,4.15,5.88,0.437,83.31,78.85,6,0,0,0,3,3,0,100.0
SHP0012,V096,Refrigerated Truck,2000.0,Yogurt,Chilled,2.0,8.0,242,2026-08-09,2026-08-02,Madurai,Salem,131.0,Completed,Review,Compliant,Review,Complete,Normal,27,0,0,4.933,4.17,5.65,0.443,86.38,84.07,8,0,0,0,3,3,0,100.0
SHP0013,V060,Refrigerated Van,1000.0,Fresh Cream,Chilled,2.0,8.0,295,2026-08-28,2026-08-02,Hyderabad,Kochi,187.0,Completed,Non-Compliant,Critical,Valid,Review,Normal,38,0,0,5.609,4.36,11.75,1.913,84.85,83.97,5,0,0,0,2,1,1,50.0
SHP0014,V052,Refrigerated Truck,1500.0,Cheese,Chilled,2.0,8.0,243,2026-08-30,2026-08-03,Mumbai,Bengaluru,205.0,Completed,Compliant,Compliant,Valid,Complete,Normal,42,0,0,4.942,4.28,5.76,0.377,84.77,85.95,7,0,0,0,3,3,0,100.0
SHP0015,V002,Refrigerated Truck,2000.0,Fresh Paneer,Chilled,2.0,8.0,145,2026-08-30,2026-08-05,Chennai,Kochi,320.0,Completed,Non-Compliant,Critical,Valid,Complete,Deviation,65,0,0,5.346,4.01,11.32,1.381,84.47,84.65,8,1,1,30,2,2,0,100.0
SHP0016,V041,Refrigerated Truck,2000.0,Frozen Mixed Vegetables,Frozen,-25.0,-18.0,250,2026-08-11,2026-08-06,Hyderabad,Salem,87.0,Completed,Compliant,Compliant,Valid,Complete,Normal,18,0,0,-20.958,-21.71,-20.25,0.414,84.17,81.67,6,0,0,0,4,4,0,100.0
SHP0017,V100,Refrigerated Truck,1500.0,Fresh Cream,Chilled,2.0,8.0,214,2026-08-14,2026-08-06,Hyderabad,Pune,183.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,37,0,0,4.981,3.92,5.98,0.448,85.42,84.16,6,1,0,25,4,4,0,100.0
SHP0018,V062,Refrigerated Truck,3000.0,Frozen French Fries,Frozen,-25.0,-18.0,186,2026-08-09,2026-08-07,Pune,Bengaluru,66.0,Completed,Compliant,Compliant,Valid,Complete,Delayed,14,0,0,-20.891,-21.44,-19.97,0.396,79.84,91.21,7,1,0,34,3,3,0,100.0
