shipment_key,shipment_id,vehicle_key,product_key,departure_date_key,arrival_date_key,origin,destination,journey_duration_min,status,overall_compliance,temperature_status,sensor_reliability,custody_evidence_quality,route_reliability
1,SHP0001,58,1,20260801,20260801,Kochi,Hyderabad,106.0,Completed,Review,Warning,Valid,Complete,Normal
2,SHP0002,4,2,20260807,20260807,Bangalore,Chennai,99.0,Completed,Non-Compliant,Compliant,Review,Review,Normal
3,SHP0003,46,3,20260804,20260804,Coimbatore,Bengaluru,287.0,Completed,Review,Compliant,Valid,Review,Delayed
4,SHP0004,99,4,20260805,20260805,Chennai,Madurai,276.0,Completed,Compliant,Compliant,Valid,Complete,Normal
5,SHP0005,72,5,20260804,20260804,Coimbatore,Pune,256.0,Completed,Review,Compliant,Valid,Review,Delayed
6,SHP0006,43,6,20260806,20260806,Bangalore,Madurai,213.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
7,SHP0007,53,7,20260804,20260804,Coimbatore,Salem,133.0,Completed,Non-Compliant,Critical,Valid,Review,Delayed
8,SHP0008,46,8,20260805,20260805,Bangalore,Mumbai,144.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
9,SHP0009,20,9,20260807,20260807,Pune,Madurai,137.0,Completed,Review,Compliant,Review,Complete,Normal
10,SHP0010,28,10,20260803,20260803,Salem,Bengaluru,171.0,Completed,Non-Compliant,Critical,Valid,Complete,Delayed
11,SHP0011,99,11,20260807,20260807,Bangalore,Coimbatore,256.0,Completed,Compliant,Compliant,Valid,Complete,Normal
12,SHP0012,96,12,20260802,20260802,Madurai,Salem,131.0,Completed,Review,Compliant,Review,Complete,Normal
13,SHP0013,60,13,20260802,20260802,Hyderabad,Kochi,187.0,Completed,Non-Compliant,Critical,Valid,Review,Normal
14,SHP0014,52,14,20260803,20260803,Mumbai,Bengaluru,205.0,Completed,Compliant,Compliant,Valid,Complete,Normal
15,SHP0015,2,15,20260805,20260805,Chennai,Kochi,320.0,Completed,Non-Compliant,Critical,Valid,Complete,Deviation
16,SHP0016,41,16,20260806,20260806,Hyderabad,Salem,87.0,Completed,Compliant,Compliant,Valid,Complete,Normal
